2103872 set_mempolicy(MPOL_BIND, [0x00000000000003], 65) = 0
2103872 sched_setaffinity(0, 1024, [1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 165 167 169 171 173 175 177 179 181 183 185 187 189 191 193 195 197 199 201 203 205 207 209 211 213 215 217 219 221 223 225 227 229 231 233 235 237 239 241 243 245 247 249 251 253 255 ...]) = 0
2103872 set_mempolicy(MPOL_PREFERRED, [0x00000000000002], 65) = 0
2103920 mbind(0x3d37e000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37e400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37e800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37ec00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37f000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37f400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37f800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37fc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103908 mbind(0x3d380000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103908 <... mbind resumed>)            = 0
2103924 mbind(0x3d380400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103924 <... mbind resumed>)            = 0
2103913 mbind(0x3d380800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103913 <... mbind resumed>)            = 0
2103958 mbind(0x3d380c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103964 mbind(0x3d381000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103955 mbind(0x3d381400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103955 <... mbind resumed>)            = 0
2103927 mbind(0x3d381800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d381c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d382000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d382400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d382800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d382c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d383000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d383400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d383800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d383c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d384000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d384400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d384800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d384c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d385000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d385400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d385800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d385c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d386000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d386400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d386800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d386c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d387000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d387400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d387800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d387c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d388000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
